序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
594,电子科技大学,电子技术应用实验1（数字电路基础实验）,1周,2小时每周,视频 文档 随堂测验 富文本 讨论,工学,2848,http://www.icourse163.org/course/UESTC-1002027012
595,电子科技大学,电子工程实践基础,12周,1-2小时每周,视频 文档 随堂测验 讨论,工学,4494,http://www.icourse163.org/course/UESTC-1002028002
596,电子科技大学,交响音乐名著赏析,14周,1小时每周,视频 讨论,艺术设计,7489,http://www.icourse163.org/course/UESTC-1002011005
597,电子科技大学,微积分（四）,9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,9741,http://www.icourse163.org/course/UESTC-1002008002
598,电子科技大学,中西文明比照,11周,3小时每周,视频 文档 随堂测验 富文本 讨论,外语,5054,http://www.icourse163.org/course/UESTC-1001962004
599,电子科技大学,摄影基础,10周,0.5-1小时每周,视频 文档 讨论,艺术设计,38247,http://www.icourse163.org/course/UESTC-1001958013
600,电子科技大学,中国十大传统名曲赏析,15周,1-2小时每周,视频,艺术设计,6881,http://www.icourse163.org/course/UESTC-1001959013
601,电子科技大学,电路分析基础,15周,3-5小时,视频 文档 随堂测验 讨论,工学,7999,http://www.icourse163.org/course/UESTC-500002
602,电子科技大学,微积分（三）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6211,http://www.icourse163.org/course/UESTC-1001929009
603,电子科技大学,职场沟通英语,10周,2-3小时每周,视频 随堂测验 讨论,外语,32448,http://www.icourse163.org/course/UESTC-1001915003
604,电子科技大学,数字信号处理,17周,1.5小时每周,视频 文档 随堂测验 讨论,工学,11994,http://www.icourse163.org/course/UESTC-236010
605,电子科技大学,微积分（二）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,10247,http://www.icourse163.org/course/UESTC-1001785006
606,电子科技大学,测量学,14周,每周3小时,视频 随堂测验 讨论,,3113,http://www.icourse163.org/course/UESTC-1001850003
607,电子科技大学,计量经济学,16周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,18977,http://www.icourse163.org/course/UESTC-1001807007
608,电子科技大学,微积分（一）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13969,http://www.icourse163.org/course/UESTC-1001742015
609,电子科技大学,计算机组成原理,14周,每周4学时,视频 文档 讨论,计算机,24161,http://www.icourse163.org/course/UESTC-1001543002
610,电子科技大学,经济学,16周,3-5小时每周,视频 文档 随堂测验 富文本,经济管理,15065,http://www.icourse163.org/course/UESTC-1001709017
611,电子科技大学,概率论与数理统计,14周,2-3小时每周,视频 文档 随堂测验 讨论,理学,16763,http://www.icourse163.org/course/UESTC-1001590004
612,电子科技大学,电子技术实验基础（一：电路分析),18周,1-2,视频 文档 讨论,工学,10480,http://www.icourse163.org/course/UESTC-1001551010
613,电子科技大学,管理心理学（下）,8周,2-4小时,视频 文档 随堂测验 富文本 讨论,心理学,11456,http://www.icourse163.org/course/UESTC-1001564002
614,电子科技大学,管理心理学（上）,8周,2-3小时一周,视频 文档 随堂测验 富文本 讨论,心理学,25799,http://www.icourse163.org/course/UESTC-234018
615,电子科技大学,管理学,18周,3-5小时每周,视频 文档 随堂测验 讨论,经济管理,11911,http://www.icourse163.org/course/UESTC-1001545004
616,电子科技大学,金融学基础,11周,2-4小时每周,视频 文档 随堂测验,经济管理,13578,http://www.icourse163.org/course/UESTC-1001536001
617,电子科技大学,线性代数与空间解析几何（二）,8周,4小时每周,视频 文档 随堂测验 讨论,理学,9487,http://www.icourse163.org/course/UESTC-1001508001
618,电子科技大学,线性代数与空间解析几何（一）,8周,4小时每周,视频 文档 随堂测验 讨论,理学,13306,http://www.icourse163.org/course/UESTC-236003
619,电子科技大学,微波固态电路,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,工学,3198,http://www.icourse163.org/course/UESTC-491001
620,电子科技大学,心理健康与创新能力,8周,3-5小时每周,视频,经济管理/心理学,11477,http://www.icourse163.org/course/UESTC-235011
621,电子科技大学,数字集成电路与系统设计（ASIC设计）,16周,2-3小时每周,视频 文档 随堂测验 讨论,工学,5280,http://www.icourse163.org/course/UESTC-234015
622,电子科技大学,通信原理,19周,3-5,视频 文档 随堂测验 富文本 讨论,工学,9690,http://www.icourse163.org/course/UESTC-238011
623,电子科技大学,数字逻辑设计及应用,19周,3-5小时每周,视频 文档 随堂测验 讨论,工学,6314,http://www.icourse163.org/course/UESTC-234014
624,电子科技大学,模拟电路基础,13周,3-5小时每周,视频 文档 随堂测验 讨论,工学,8944,http://www.icourse163.org/course/UESTC-234013
625,电子科技大学,数学实验,10周,3,视频 文档 随堂测验 富文本 讨论,理学,6086,http://www.icourse163.org/course/UESTC-235004
626,西安交通大学,大学计算机CAP,6周,2-3,视频 随堂测验 富文本 讨论,计算机,10431,http://www.icourse163.org/course/XJTU-1002057028
627,西安交通大学,ACCA财务管理F9,16周,3-5小时每周,视频 文档 随堂测验 讨论,经济管理,6473,http://www.icourse163.org/course/XJTU-1002145003
628,西安交通大学,化学与人类文明,10周,3h,视频 文档 随堂测验 讨论,理学,1282,http://www.icourse163.org/course/XJTU-1002124003
629,西安交通大学,口腔解剖生理学,11周,2-4小时每周,视频 讨论,生命科学,3073,http://www.icourse163.org/course/XJTU-1002124002
630,西安交通大学,F3：财务会计,16周,3-5小时/周,视频 文档 随堂测验,经济管理,14448,http://www.icourse163.org/course/XJTU-1002104012
631,西安交通大学,概率论与数理统计,12周,4小时每周,视频 文档 随堂测验,理学,8807,http://www.icourse163.org/course/XJTU-1002106007
632,西安交通大学,数学竞赛选讲,8周,3-5小时,视频 文档 随堂测验 富文本 讨论,理学,4329,http://www.icourse163.org/course/XJTU-1002104011
633,西安交通大学,线性代数与解析几何,15周,4小时每周,视频 文档 富文本 讨论,理学,12055,http://www.icourse163.org/course/XJTU-1002104010
634,西安交通大学,分子生物学,10周,2-3小时每周,视频 文档 随堂测验 讨论,生命科学,5914,http://www.icourse163.org/course/XJTU-1002085005
635,西安交通大学,模拟电子技术基础,12周,4小时每周,视频 随堂测验 讨论,工学,11723,http://www.icourse163.org/course/XJTU-1001807015
636,西安交通大学,无机与分析化学,16周,3小时/周,视频 文档 随堂测验 富文本 讨论,理学,5462,http://www.icourse163.org/course/XJTU-1001916005
637,西安交通大学,高等数学(二),15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,27672,http://www.icourse163.org/course/XJTU-1001756006
638,西安交通大学,高等数学（一）,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,39452,http://www.icourse163.org/course/XJTU-1001744016
639,西安交通大学,微机原理与接口技术,14周,3-4,视频 文档 随堂测验 讨论,工学,9019,http://www.icourse163.org/course/XJTU-1001647001
640,西安交通大学,中国传统文化,20周,2-3小时每周,视频 文档 随堂测验 讨论,文学历史,28414,http://www.icourse163.org/course/XJTU-1001597002
641,西安交通大学,系统工程,8周,3-5小时每周,视频 随堂测验 讨论,经济管理/工学,5474,http://www.icourse163.org/course/XJTU-1001596005
642,西安交通大学,机械设计基础,18周,3-5,视频 文档 随堂测验 讨论,工学,7497,http://www.icourse163.org/course/XJTU-1001595002
643,西安交通大学,社会学概论,10周,2-3小时每周,视频 文档 随堂测验 讨论,法学,5869,http://www.icourse163.org/course/XJTU-1001596004
644,西安交通大学,艺术导论,15周,4-6,视频 文档 随堂测验,艺术设计,4009,http://www.icourse163.org/course/XJTU-1001598002
645,西安交通大学,大学物理——机械振动、波和波动光学,14周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,2916,http://www.icourse163.org/course/XJTU-1001593008
646,西安交通大学,品读道家智慧,9周,2-4,视频 随堂测验 讨论,文学历史/哲学,20051,http://www.icourse163.org/course/XJTU-1001522001
647,西安交通大学,《论语》的智慧,13周,2小时,视频 随堂测验 讨论,文学历史,17117,http://www.icourse163.org/course/XJTU-1001514005
648,西安交通大学,大学物理力学篇(通识类),7周,5-6小时每周,视频 文档 随堂测验 富文本 讨论,理学,3054,http://www.icourse163.org/course/XJTU-335001
649,西安交通大学,光电子学(二),13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,工学,2358,http://www.icourse163.org/course/XJTU-215001
650,西安交通大学,光电子学(一),13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,工学,1855,http://www.icourse163.org/course/XJTU-46014
651,西安交通大学,国防教育——军事理论,16周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,6578,http://www.icourse163.org/course/XJTU-47023
652,西安交通大学,有机化学(1),9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6274,http://www.icourse163.org/course/XJTU-46017
653,西安交通大学,有机化学(2),9周,3-6小时每周,视频 文档 随堂测验 讨论,理学,7647,http://www.icourse163.org/course/XJTU-50001
654,西安交通大学,中国哲学经典著作导读,16周,2,视频 随堂测验 讨论,文学历史/哲学,12609,http://www.icourse163.org/course/XJTU-46019
655,西安交通大学,电路,14周,3-5小时,视频 文档 随堂测验 讨论,工学,14581,http://www.icourse163.org/course/XJTU-47024
656,西安交通大学,自动控制原理,12周,1小时每周,视频 随堂测验,工学,5177,http://www.icourse163.org/course/XJTU-46018
657,西安交通大学,大学计算机,12周,2-3,视频 随堂测验 富文本 讨论,计算机,9091,http://www.icourse163.org/course/XJTU-46016
658,西安交通大学,医学伦理学,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,1899,http://www.icourse163.org/course/XJTU-47022
659,西安交通大学,计算机程序设计（C++）,14周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,18325,http://www.icourse163.org/course/XJTU-46006
660,西北工业大学,生物医学工程概论,18周,2-3小时每周,视频 文档 随堂测验 讨论,工学/生命科学,2319,http://www.icourse163.org/course/NWPU-1001998001
661,西北工业大学,金属材料学,13周,3~4小时每周,视频 文档,工学,2511,http://www.icourse163.org/course/NWPU-1001993003
662,西北工业大学,3D打印技术及应用,17周,5,视频 文档 随堂测验 讨论,工学,6167,http://www.icourse163.org/course/NWPU-1001911003
663,西北工业大学,理论力学,16周,3-6小时每周,视频 文档 随堂测验 富文本 讨论,工学,8204,http://www.icourse163.org/course/NWPU-1001955002
664,西北工业大学,现代控制理论基础,12周,2-4小时每周,视频 文档 随堂测验 讨论,工学,3914,http://www.icourse163.org/course/NWPU-1001959005
665,西北工业大学,机械制造基础,14周,1-3小时每周,视频 文档 讨论,工学,3970,http://www.icourse163.org/course/NWPU-1001813005
666,西北工业大学,导引系统原理,11周,4,视频 文档,工学,1543,http://www.icourse163.org/course/NWPU-1001601008
667,西北工业大学,C++程序设计,18周,3-6小时每周,视频 文档 随堂测验,计算机,17121,http://www.icourse163.org/course/NWPU-494001
668,西北工业大学,C#程序设计,10周,4,视频 文档 随堂测验 富文本 讨论,计算机,8054,http://www.icourse163.org/course/NWPU-493001
669,西北工业大学,C程序设计,12周,4,视频 文档 随堂测验 富文本 讨论,计算机,12131,http://www.icourse163.org/course/NWPU-236004
670,西北工业大学,材料科学基础（下）,10周,4,视频 文档 随堂测验 富文本 讨论,工学,3840,http://www.icourse163.org/course/NWPU-111001
671,西北工业大学,材料科学基础（上）,8周,4,视频 文档 随堂测验 富文本 讨论,工学,6059,http://www.icourse163.org/course/NWPU-15001
672,西北工业大学,航天器控制原理,15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,3509,http://www.icourse163.org/course/NWPU-21004
673,西北工业大学,航空发动机燃烧学,12周,4,视频 文档 随堂测验 富文本 讨论,工学,3940,http://www.icourse163.org/course/NWPU-20008
674,西北工业大学,机械原理,17周,4小时每周,视频 文档 随堂测验 富文本 讨论,工学,4475,http://www.icourse163.org/course/NWPU-20007
675,西北工业大学,机械设计,16周,3,视频 文档 随堂测验 富文本 讨论,工学,7257,http://www.icourse163.org/course/NWPU-17001
676,兰州大学,走近核科学技术,9周,3小时每周,视频 文档 随堂测验 富文本 讨论,工学,2541,http://www.icourse163.org/course/LZU-152001
677,台湾新竹“清华大学”,投资学,10周,2小时每周,视频 文档 随堂测验 讨论,经济管理,54023,http://www.icourse163.org/course/NTHU-1001789002
678,台湾新竹“清华大学”,计算机网络概论,10周,3小时每周,视频 随堂测验 讨论,计算机,15601,http://www.icourse163.org/course/NTHU-1001691005
679,台湾新竹“清华大学”,细胞神经科学,10周,3小时每周,视频 随堂测验 讨论,生命科学,4545,http://www.icourse163.org/course/NTHU-1001694004
680,台湾新竹“清华大学”,微积分导论(一),12周,3小时每周,视频 随堂测验,理学,8365,http://www.icourse163.org/course/NTHU-1001639009
681,台湾新竹“清华大学”,感觉与知觉,6周,1小时每周,视频 随堂测验,心理学,16213,http://www.icourse163.org/course/NTHU-1001566011
682,台湾新竹“清华大学”,大观与微观：红楼梦1-40回,6周,2小时每周,视频 讨论,文学历史,110830,http://www.icourse163.org/course/NTHU-1001561008
683,台湾新竹“清华大学”,数据结构,10周,3-5小时每周,视频 随堂测验,计算机,52444,http://www.icourse163.org/course/NTHU-451013
684,台湾新竹“清华大学”,细读张爱玲,10周,2 小时每周,视频 随堂测验 讨论,文学历史,92618,http://www.icourse163.org/course/NTHU-451015
685,台湾新竹“清华大学”,财务管理,8周,3-5小时每周,视频 随堂测验 讨论,经济管理,139407,http://www.icourse163.org/course/NTHU-453006
686,台湾新竹“清华大学”,认知神经科学,8周,3-5小时每周,视频 随堂测验 讨论,生命科学,18427,http://www.icourse163.org/course/NTHU-451014
687,台湾新竹“清华大学”,系统神经科学,8周,3-5小时每周,视频 随堂测验 讨论,生命科学,10938,http://www.icourse163.org/course/NTHU-452010
688,台湾新竹“清华大学”,物联网概论,10周,3 小时每周,视频 随堂测验 讨论,计算机,31230,http://www.icourse163.org/course/NTHU-452009
689,台湾新竹“交通大学”,创意学经济,18周,3-5小时每周,视频 文档 富文本 讨论,经济管理,9165,http://www.icourse163.org/course/NCTU-1001971011
690,台湾新竹“交通大学”,半导体元件物理,8周,2-3小时每周,视频 文档 随堂测验,理学,3093,http://www.icourse163.org/course/NCTU-1001615018
691,台湾新竹“交通大学”,浅论电子学,14周,1-2小时每周,视频 文档 随堂测验,工学,2680,http://www.icourse163.org/course/NCTU-496002
692,台湾新竹“交通大学”,孙子兵法与企业经营,11周,2-3小時每周,视频 文档 随堂测验,经济管理,11904,http://www.icourse163.org/course/NCTU-496001
693,台北医学大学,医学资讯学,13周,1,视频 随堂测验,生命科学,2021,http://www.icourse163.org/course/TMU-1001737030
694,台北医学大学,用药快餐车,6周,1小時為一周,视频,生命科学,7395,http://www.icourse163.org/course/TMU-1001780002
695,台北医学大学,养气方程式,8周,每周1小时,视频,生命科学,2648,http://www.icourse163.org/course/TMU-1001780001
696,慈济大学,人文飘香：静思茶道,9周,3,视频 随堂测验 讨论,艺术设计,8630,http://www.icourse163.org/course/TCU-1001967006
697,中原大学,作业系统,9周,2,视频 文档 随堂测验 讨论,计算机,1407,http://www.icourse163.org/course/CYCU-1002030017
698,北京交通大学,单片机原理与应用,10周,4,视频 文档 随堂测验 讨论,工学,20070,http://www.icourse163.org/course/NJTU-1001729006
699,北京交通大学,大学计算机——计算思维之路,12周,5,视频 文档 随堂测验 富文本 讨论,计算机,7472,http://www.icourse163.org/course/NJTU-196001
700,北京交通大学,大学计算机——计算思维之路CAP,10周,5,视频 文档 随堂测验 富文本 讨论,计算机,13081,http://www.icourse163.org/course/NJTU-1001691004
701,北京交通大学,数字电子技术基础,21周,4,视频 文档 随堂测验 讨论,工学,6174,http://www.icourse163.org/course/NJTU-1002105006
702,北京交通大学,微机原理与接口技术,17周,3-5,视频 文档 随堂测验 讨论,工学,11772,http://www.icourse163.org/course/NJTU-1002080018
703,北京交通大学,交通运输概论,10周,1-3小时每周,视频 文档 随堂测验 讨论,工学,6433,http://www.icourse163.org/course/NJTU-1002083016
704,北京交通大学,电路,10周,5-7小时每周,视频 文档 随堂测验 富文本 讨论,工学,7606,http://www.icourse163.org/course/NJTU-1002084010
705,北京交通大学,模拟电子技术,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,14500,http://www.icourse163.org/course/NJTU-1001949007
706,北京交通大学,数字信号处理,16周,3-5 小时/周,视频 文档 随堂测验 讨论,工学,6977,http://www.icourse163.org/course/NJTU-1001950001
707,北京交通大学,信号与系统,17周,3-5,视频 文档 随堂测验 富文本 讨论,工学,12807,http://www.icourse163.org/course/NJTU-359003
708,北京科技大学,形势与政策,13周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,法学,10142,http://www.icourse163.org/course/USTB-1001720006
709,北京科技大学,大学英语自学课程（下）,12周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,外语,32789,http://www.icourse163.org/course/USTB-1001551007
710,北京科技大学,大学英语自学课程(上),6周,4-5小时/每周,视频 文档 随堂测验 富文本 讨论,外语,179555,http://www.icourse163.org/course/USTB-299003
711,北京化工大学,化工原理（下）,15周,4,视频 文档 随堂测验 讨论,工学,2510,http://www.icourse163.org/course/BUCT-1002093003
712,北京化工大学,化工原理（上）,15周,3~5小时每周,视频 文档 随堂测验 讨论,工学,4530,http://www.icourse163.org/course/BUCT-1001939001
713,北京协和医学院,卫生体系学,8周,3-5,视频 文档 随堂测验 富文本 讨论,生命科学,2030,http://www.icourse163.org/course/PUMC-21015
714,首都经济贸易大学,创业团队建设与管理,9周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,6061,http://www.icourse163.org/course/CUEB-1002015029
715,北京中医药大学,中医诊断学（上）,11周,3-5小时每周,视频 随堂测验 讨论,生命科学,16580,http://www.icourse163.org/course/BUCM-388001
716,北京中医药大学,针灸学导论,15周,2-3,视频 文档 随堂测验 富文本 讨论,生命科学,10910,http://www.icourse163.org/course/BUCM-387004
717,北京中医药大学,中药安全用药导论,14周,3-4,视频 文档 随堂测验 讨论,生命科学,4757,http://www.icourse163.org/course/BUCM-387003
718,首都师范大学,博弈论,13周,3至4小时,视频 文档 随堂测验 富文本 讨论,经济管理,28474,http://www.icourse163.org/course/CNU-1001600006
719,北京外国语大学,会计学原理,10周,1小时每周,视频 文档 随堂测验 讨论,经济管理/外语,38857,http://www.icourse163.org/course/BFSU-1001604001
720,中央财经大学,投资学,12周,3-5小时每周,视频,经济管理,31370,http://www.icourse163.org/course/CUFE-1002245008
721,中央财经大学,金融学（一）,16周,3学时每周,视频 文档 随堂测验 富文本 讨论,经济管理,70022,http://www.icourse163.org/course/CUFE-21011
722,中央财经大学,金融学（二）,12周,3学时每周,视频 文档 随堂测验 富文本 讨论,经济管理,45597,http://www.icourse163.org/course/CUFE-88001
723,华北电力大学,管理沟通,12周,3学时每周,视频 文档 随堂测验 富文本 讨论,经济管理,45597,http://www.icourse163.org/course/NUEPU-292001
724,华北电力大学,生活中的纠纷与解决,9周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,7236,http://www.icourse163.org/course/NUEPU-1001941003
725,华北电力大学（保定）,自动化专业概论,17周,3-5小时每周,视频 文档 随堂测验 讨论,工学,4528,http://www.icourse163.org/course/NCEPUB-1001635002
726,河北师范大学,中学教育见习与实习,9周,3-6小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,3761,http://www.icourse163.org/course/HEBTU-1002140002
727,河北师范大学,模拟电子技术基础,22周,3-5小时/周,视频 文档 随堂测验 讨论,工学,13094,http://www.icourse163.org/course/HEBTU-126003
728,保定学院,艺术教育,10周,4学时/每周,视频 文档 讨论,艺术设计,3065,http://www.icourse163.org/course/BDU-1001765002
729,太原理工大学,机械制造技术基础,15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,4376,http://www.icourse163.org/course/TYUT-1001938005
730,大连海事大学,航运管理,10周,1-2小时每周,视频 文档 随堂测验 富文本,工学,254,http://www.icourse163.org/course/DLMU-1002027024
731,大连海事大学,轮机自动化,,待定,视频 文档 随堂测验 讨论,工学,419,http://www.icourse163.org/course/DLMU-1002030033
732,大连海事大学,海商法,17周,2-4小时每周,视频 文档 随堂测验 讨论,法学,2491,http://www.icourse163.org/course/DLMU-1001983016
733,大连海事大学,海上货物运输,15周,每周4小时,视频 文档 随堂测验 富文本 讨论,工学,1686,http://www.icourse163.org/course/DLMU-1001979017
734,大连海事大学,航海力学,16周,4,视频 文档 随堂测验 讨论,工学,2658,http://www.icourse163.org/course/DLMU-1001982012
735,渤海大学,“互联网+”管理学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,6651,http://www.icourse163.org/course/BHU-1001779003
736,东北师范大学,文学经典导读,7周,1~2小时每周,视频 文档 随堂测验 讨论,文学历史,20809,http://www.icourse163.org/course/NENU-1001805015
737,东北师范大学,数据库技术及应用,17周,3,视频 文档 随堂测验 富文本 讨论,计算机,9427,http://www.icourse163.org/course/NENU-1001511011
738,黑龙江大学,《论语》人生课堂,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,哲学,6960,http://www.icourse163.org/course/HLJU-1002007006
739,哈尔滨工程大学,微波技术,10周,4小时每周,视频 文档 随堂测验 讨论,工学,1848,http://www.icourse163.org/course/HRBEU-1002143001
740,哈尔滨工程大学,水声学,13周,3-5小时,视频 文档 讨论,工学,1165,http://www.icourse163.org/course/HRBEU-1002013001
741,哈尔滨工程大学,孙子兵法的智慧应用,8周,1-1.5小时每周,视频 随堂测验 富文本 讨论,文学历史,7719,http://www.icourse163.org/course/HRBEU-1002011001
742,哈尔滨工程大学,自动控制元件,18周,3-4,视频 文档 随堂测验 讨论,工学,3697,http://www.icourse163.org/course/HRBEU-1001995017
743,哈尔滨工程大学,核反应堆物理,10周,4~6小时每周,视频 文档 随堂测验 讨论,工学,2217,http://www.icourse163.org/course/HRBEU-1001956004
744,哈尔滨工程大学,现代市场营销素质与能力提升,10周,3-5小时每周,视频 随堂测验 讨论,经济管理,6198,http://www.icourse163.org/course/HRBEU-1001986001
745,哈尔滨工程大学,弟子规与人生修炼,9周,2-3小时每周,视频,教育教学,3272,http://www.icourse163.org/course/HRBEU-1001963010
746,上海大学,土木工程概论,10周,2小时每周,视频,工学,8211,http://www.icourse163.org/course/SHU-1001970009
747,东华大学,环境监测,10周,3-4小时每周,视频 文档 随堂测验 讨论,工学/生命科学,2599,http://www.icourse163.org/course/DHU-1002080025
748,东华大学,信息系统与数据库技术,16周,3-5小时/周,视频 文档 随堂测验 富文本 讨论,计算机,2800,http://www.icourse163.org/course/DHU-1001993005
749,华东理工大学,形势与政策,8周,1.5小时每周,视频 文档 随堂测验 富文本 讨论,法学,1708,http://www.icourse163.org/course/ECUST-1002030009
750,南京航空航天大学,材料力学漫谈,9周,2,视频 文档 随堂测验 富文本 讨论,,366,http://www.icourse163.org/course/NUAA-1002052006
751,南京航空航天大学,基础工业工程,待定周,待定,视频 文档 随堂测验 富文本 讨论,,762,http://www.icourse163.org/course/NUAA-1001755424
752,南京航空航天大学,运筹学,18周,3-5小时每周,视频,,4415,http://www.icourse163.org/course/NUAA-1001753428
753,南京航空航天大学,材料力学,13周,3-5,视频 文档 随堂测验 讨论,,745,http://www.icourse163.org/course/NUAA-1001753423
754,南京航空航天大学,灰色系统理论,待定周,待定,视频,,555,http://www.icourse163.org/course/NUAA-1001755420
755,南京航空航天大学,无人机设计导论,8周,3-5小时每周,视频 讨论,工学,9242,http://www.icourse163.org/course/NUAA-1001767005
756,南京航空航天大学,理论力学（运动学）,6周,2-3,视频 文档 随堂测验 讨论,,1150,http://www.icourse163.org/course/NUAA-1001754365
757,南京航空航天大学,航天、人文与艺术,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,3572,http://www.icourse163.org/course/NUAA-1001764004
758,南京航空航天大学,飞行器结构力学,17周,3-5小时每周,视频 文档 随堂测验 讨论,,906,http://www.icourse163.org/course/NUAA-1001754373
759,南京航空航天大学,马克思主义基本原理概论,17周,4-5小时每周,视频 文档 随堂测验 富文本 讨论,,7296,http://www.icourse163.org/course/NUAA-1001754371
760,南京航空航天大学,面向对象C++程序设计,16周,4-5小时每周,视频 随堂测验 讨论,,2751,http://www.icourse163.org/course/NUAA-1001754370
761,南京航空航天大学,航天、人文与艺术,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,445,http://www.icourse163.org/course/NUAA-1001754369
762,南京航空航天大学,系统工程导论,15周,2小时每周,视频 文档 随堂测验 讨论,,388,http://www.icourse163.org/course/NUAA-1001755421
763,南京航空航天大学,机床数控技术,12周,4小时每周,视频 文档 随堂测验 讨论,,936,http://www.icourse163.org/course/NUAA-1001755418
764,南京航空航天大学,现代工程图学,待定周,待定,视频 文档 随堂测验 富文本 讨论,,2649,http://www.icourse163.org/course/NUAA-1001752381
765,南京航空航天大学,电子线路,16周,4小时每周,视频 文档 讨论,,1355,http://www.icourse163.org/course/NUAA-1001755416
766,南京航空航天大学,自动控制原理,待定周,待定,视频 文档 随堂测验 富文本 讨论,,1914,http://www.icourse163.org/course/NUAA-1001754367
767,南京航空航天大学,航空发动机结构分析与设计,待定周,待定,视频,,459,http://www.icourse163.org/course/NUAA-1001755415
768,南京航空航天大学,工程热力学,待定周,待定,视频 随堂测验 讨论,,1738,http://www.icourse163.org/course/NUAA-1001753425
769,南京航空航天大学,飞行器空气动力学,,待定,视频 文档 随堂测验 富文本 讨论,,1139,http://www.icourse163.org/course/NUAA-1001752379
770,南京航空航天大学,物理与艺术,12周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,理学,1852,http://www.icourse163.org/course/NUAA-1001514002
771,南京邮电大学,光纤通信,8周,约3~4小时,视频 文档 随堂测验 讨论,,626,http://www.icourse163.org/course/NJUPT-1002185004
772,南京邮电大学,企业资源规划,15周,4,视频 文档 随堂测验 富文本 讨论,,1402,http://www.icourse163.org/course/NJUPT-1002186001
773,南京邮电大学,通信原理,14周,3-5小时每周,视频 文档 随堂测验 讨论,工学,6543,http://www.icourse163.org/course/NJUPT-1002147001
774,南京邮电大学,数字信号处理,18周,3小时每周,视频 文档 随堂测验 富文本 讨论,工学,4009,http://www.icourse163.org/course/NJUPT-1002144009
775,南京邮电大学,市场调查与研究,10周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,,1833,http://www.icourse163.org/course/NJUPT-1002056008
776,南京邮电大学,“爱上广告”--广告艺术鉴赏,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,,1659,http://www.icourse163.org/course/NJUPT-1001753421
777,南京邮电大学,创新与创业管理,8周,每周3小时,视频 文档 讨论,,1604,http://www.icourse163.org/course/NJUPT-1001755409
778,南京邮电大学,战略管理,12周,2-4课时每周,视频 文档 随堂测验 富文本 讨论,,2241,http://www.icourse163.org/course/NJUPT-1001755407
779,南京邮电大学,自动控制原理,13周,3-4小时每周,视频 文档 随堂测验 讨论,,2305,http://www.icourse163.org/course/NJUPT-1001754358
780,南京邮电大学,微纳电子材料与器件,20周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,,623,http://www.icourse163.org/course/NJUPT-1001752372
781,南京邮电大学,电信大数据导论,待定周,待定,视频 文档 随堂测验 讨论,,0,http://www.icourse163.org/course/NJUPT-1001755403
782,南京邮电大学,模拟电子线路A,15周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,3014,http://www.icourse163.org/course/NJUPT-1001734004
783,南京邮电大学,电路分析基础,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,7204,http://www.icourse163.org/course/NJUPT-1001656002
784,南京邮电大学,网络技术与应用,11周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,7162,http://www.icourse163.org/course/NJUPT-1001639008
785,中国药科大学,波谱解析,待定周,待定,视频 随堂测验 富文本 讨论,,1307,http://www.icourse163.org/course/CPU-1001760017
786,中国药科大学,生物制药工艺学（技术与基础）,13周,3~5小时每周,视频 随堂测验 讨论,,985,http://www.icourse163.org/course/CPU-1001761008
