序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
89,北京理工大学,Python网络爬虫与信息提取,4周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,30598,http://www.icourse163.org/course/BIT-1001870001
90,北京理工大学,生命科学基础,14周,4小时每周,视频 文档 随堂测验 讨论,生命科学,4968,http://www.icourse163.org/course/BIT-1001759008
91,北京理工大学,线性代数习题选讲,8周,4,视频 文档 富文本 讨论,理学,7949,http://www.icourse163.org/course/BIT-1001756011
92,北京理工大学,工程流体力学,11周,3小时每周,视频 文档 随堂测验 富文本 讨论,工学,8464,http://www.icourse163.org/course/BIT-1001758008
93,北京理工大学,数学实验,9周,3小时每周,视频 文档 随堂测验 讨论,理学,2978,http://www.icourse163.org/course/BIT-1001756010
94,北京理工大学,大学物理典型问题解析—振动、波动与光学,9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,2357,http://www.icourse163.org/course/BIT-1001604004
95,北京理工大学,大学物理典型问题解析—力学与热学,10周,3-5小时每周,视频 文档 随堂测验,理学,2448,http://www.icourse163.org/course/BIT-1001605006
96,北京理工大学,大学物理典型问题解析—近代物理,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,1689,http://www.icourse163.org/course/BIT-1001605005
97,北京理工大学,大学物理典型问题解析—电磁学,8周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,4526,http://www.icourse163.org/course/BIT-1001605004
98,北京理工大学,机械原理,12周,4-6,视频 文档 随堂测验 讨论,工学,7957,http://www.icourse163.org/course/BIT-47016
99,北京理工大学,大学计算机,9周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,82914,http://www.icourse163.org/course/BIT-47004
100,北京理工大学,工程图基础及数字化构型,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,3585,http://www.icourse163.org/course/BIT-47003
101,北京理工大学,Python语言程序设计,10周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,68359,http://www.icourse163.org/course/BIT-268001
102,北京理工大学,微积分(二),12周,4小时每周,视频 文档 随堂测验 富文本 讨论,理学,23234,http://www.icourse163.org/course/BIT-47001
103,北京理工大学,微积分（一）,16周,4,视频 文档 随堂测验 富文本 讨论,理学,21173,http://www.icourse163.org/course/BIT-20017
104,北京理工大学,C语言程序设计（下）,10周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,14723,http://www.icourse163.org/course/BIT-46004
105,北京理工大学,C语言程序设计(上),8周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,27085,http://www.icourse163.org/course/BIT-20019
106,北京理工大学,大学物理—电磁学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13502,http://www.icourse163.org/course/BIT-20020
107,北京理工大学,大学物理—近代物理,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6094,http://www.icourse163.org/course/BIT-46001
108,北京理工大学,大学物理—振动、波动与光学,9周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,5994,http://www.icourse163.org/course/BIT-46003
109,北京理工大学,线性代数,18周,3-5,视频 文档 随堂测验 讨论,理学,25034,http://www.icourse163.org/course/BIT-32001
110,北京理工大学,微电子电路基础,12周,4－6学时每周,视频 文档 随堂测验 富文本 讨论,理学,5468,http://www.icourse163.org/course/BIT-20018
111,北京理工大学,管理运筹学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,13426,http://www.icourse163.org/course/BIT-47012
112,中国农业大学,C语言程序设计——快速入门与提高CAP,8周,3-5,视频 文档 随堂测验 富文本 讨论,计算机,27788,http://www.icourse163.org/course/CAU-1001614009
113,中国农业大学,大学计算机基础CAP,12周,4-6小时/周,视频 文档 随堂测验 富文本 讨论,计算机,22820,http://www.icourse163.org/course/CAU-1001617003
